MarkerName,Effect,StdErr,P-value,Direction,HetISq,HetChiSq,HetDf,HetPVal,CpG_chrm,CpG_beg,CpG_end,probe_strand,genesUniq,geneNames,transcriptTypes,transcriptIDs,distToTSS,CGI,CGIposition,snpID,snpChrm,snpEnd,snpRef,snpAlt,GAN,GAC,GAF,distance
cg3609,0.1671,0.0052,5.51e-227,-+,0,0.519,1,0.4714,,,,,,,,,,,,,,,,,,,,
cg1814,-0.4409,0.0137,1.91e-226,--,0,0.287,1,0.5919,,,,,,,,,,,,,,,,,,,,
cg2915,0.286,0.009,2.18e-221,++,33,1.492,1,0.2219,,,,,,,,,,,,,,,,,,,,
cg3232,0.2481,0.0078,1.18e-219,++,0,0.005,1,0.9432,,,,,,,,,,,,,,,,,,,,
cg3789,0.8056,0.0258,6.76e-214,-+,85.2,6.769,1,0.009276,,,,,,,,,,,,,,,,,,,,
cg3071,0.1457,0.0047,1.3e-211,-+,68.2,3.143,1,0.07623,,,,,,,,,,,,,,,,,,,,
cg2731,-0.4497,0.0145,9.78e-211,--,76.4,4.243,1,0.03941,,,,,,,,,,,,,,,,,,,,
cg2459,0.505,0.0164,1.22e-207,-+,0,0.398,1,0.528,,,,,,,,,,,,,,,,,,,,
cg594,-0.6802,0.0222,1.07e-206,+-,68.3,3.156,1,0.07563,,,,,,,,,,,,,,,,,,,,
cg4369,0.6909,0.0229,1.13e-199,++,0,0.229,1,0.6322,,,,,,,,,,,,,,,,,,,,
cg1253,0.336,0.0113,1.03e-195,-+,0,0.432,1,0.5111,,,,,,,,,,,,,,,,,,,,
cg1533,0.4704,0.0161,6.68e-188,++,0,0.597,1,0.4399,,,,,,,,,,,,,,,,,,,,
cg346,-0.4062,0.014,2.01e-186,+-,9.6,1.106,1,0.2929,,,,,,,,,,,,,,,,,,,,
cg493,-0.6742,0.0235,3.44e-181,--,0,0.534,1,0.4648,,,,,,,,,,,,,,,,,,,,
cg3268,0.9011,0.0317,4.21e-178,++,0,0.122,1,0.7272,,,,,,,,,,,,,,,,,,,,
cg1704,0.8592,0.0303,2.53e-176,-+,73.7,3.803,1,0.05117,,,,,,,,,,,,,,,,,,,,
cg2212,-0.1603,0.0057,7.94e-174,--,0,0.005,1,0.9431,,,,,,,,,,,,,,,,,,,,
cg4863,0.7343,0.0266,4.57e-168,++,0,0.035,1,0.8516,,,,,,,,,,,,,,,,,,,,
cg2973,-0.5107,0.0186,5.2e-166,+-,0,0.492,1,0.4832,,,,,,,,,,,,,,,,,,,,
cg2247,0.9112,0.0345,5.35e-154,++,0,0.012,1,0.9116,,,,,,,,,,,,,,,,,,,,
cg3159,0.7903,0.0299,9.76e-154,++,0,0.568,1,0.4511,,,,,,,,,,,,,,,,,,,,
cg1085,0.1836,0.007,7.77e-153,++,0,0.014,1,0.9075,,,,,,,,,,,,,,,,,,,,
cg635,0.4912,0.0188,2.15e-150,-+,93.8,16.007,1,6.309e-05,,,,,,,,,,,,,,,,,,,,
cg1773,-0.5764,0.0223,6.14e-147,--,0,0.416,1,0.519,,,,,,,,,,,,,,,,,,,,
cg3771,0.5575,0.0217,3.66e-145,++,0,0.046,1,0.83,,,,,,,,,,,,,,,,,,,,
cg1604,-0.5837,0.0228,7.39e-145,+-,99.1,106.5,1,5.729e-25,,,,,,,,,,,,,,,,,,,,
cg4337,0.4476,0.0179,3.08e-138,-+,69.2,3.251,1,0.07136,,,,,,,,,,,,,,,,,,,,
cg3786,0.5516,0.0221,1.17e-137,++,0,0.059,1,0.8084,,,,,,,,,,,,,,,,,,,,
cg4988,-0.27,0.0109,5.89e-136,--,0,0.129,1,0.7191,,,,,,,,,,,,,,,,,,,,
cg4615,0.771,0.0311,1.52e-135,-+,77,4.354,1,0.03692,,,,,,,,,,,,,,,,,,,,
cg1502,1.0846,0.0447,7.18e-130,++,95.3,21.217,1,4.101e-06,,,,,,,,,,,,,,,,,,,,
cg303,0.517,0.0213,1.01e-129,++,0,0.338,1,0.5608,,,,,,,,,,,,,,,,,,,,
cg817,0.2965,0.0123,2.78e-129,++,0,0.331,1,0.565,,,,,,,,,,,,,,,,,,,,
cg3744,-0.0331,0.0014,1.29e-128,--,0,0.062,1,0.804,,,,,,,,,,,,,,,,,,,,
cg1184,0.5938,0.0249,1.26e-125,-+,70.9,3.439,1,0.06367,,,,,,,,,,,,,,,,,,,,
cg4319,-1.0296,0.0432,2.07e-125,--,0,0.87,1,0.3509,,,,,,,,,,,,,,,,,,,,
cg3793,0.6122,0.0262,1.25e-120,-+,63.6,2.747,1,0.09741,,,,,,,,,,,,,,,,,,,,
cg3877,0.8908,0.0382,2.26e-120,++,26,1.351,1,0.245,,,,,,,,,,,,,,,,,,,,
cg2165,0.2913,0.0125,7.57e-120,++,79,4.762,1,0.02909,,,,,,,,,,,,,,,,,,,,
cg4046,0.1745,0.0076,4.46e-118,-+,0,0.201,1,0.6538,,,,,,,,,,,,,,,,,,,,
cg618,-0.7816,0.0343,5.43e-115,--,0,0.023,1,0.8784,,,,,,,,,,,,,,,,,,,,
cg184,-0.5934,0.0261,1.02e-114,+-,34.9,1.536,1,0.2151,,,,,,,,,,,,,,,,,,,,
cg2326,-0.7615,0.0336,1.11e-113,+-,63.4,2.733,1,0.09832,,,,,,,,,,,,,,,,,,,,
cg1701,0.5404,0.0239,4.99e-113,++,0,0.565,1,0.4522,,,,,,,,,,,,,,,,,,,,
cg717,0.3099,0.0137,7.1e-113,-+,70.6,3.401,1,0.06518,,,,,,,,,,,,,,,,,,,,
cg3178,0.3686,0.0163,7.86e-113,++,0,0.001,1,0.9773,,,,,,,,,,,,,,,,,,,,
cg4506,0.8457,0.0377,1.34e-111,++,57.1,2.334,1,0.1266,,,,,,,,,,,,,,,,,,,,
cg3409,0.3075,0.0138,2.9e-110,++,0,0.127,1,0.7213,,,,,,,,,,,,,,,,,,,,
cg1785,-0.9429,0.0427,2.76e-108,-+,91.8,12.266,1,0.0004613,,,,,,,,,,,,,,,,,,,,
cg1609,-0.1462,0.0068,3.98e-102,--,0,0.03,1,0.862,,,,,,,,,,,,,,,,,,,,
cg3357,-0.3637,0.0172,1.17e-99,+-,0,0.271,1,0.6024,,,,,,,,,,,,,,,,,,,,
cg4812,0.3981,0.0189,7.15e-99,++,0,0.043,1,0.836,,,,,,,,,,,,,,,,,,,,
cg1560,0.4904,0.0233,1.09e-98,++,0,0.112,1,0.7383,,,,,,,,,,,,,,,,,,,,
cg515,0.3674,0.0175,1.49e-97,++,0,0.107,1,0.7441,,,,,,,,,,,,,,,,,,,,
cg3995,0.4944,0.024,4.22e-94,-+,62.6,2.677,1,0.1018,,,,,,,,,,,,,,,,,,,,
cg3861,-0.975,0.0476,3.76e-93,+-,77.7,4.489,1,0.03411,,,,,,,,,,,,,,,,,,,,
cg1061,0.4242,0.021,5.2e-91,++,0,0.001,1,0.972,,,,,,,,,,,,,,,,,,,,
cg2640,0.5165,0.0258,2.94e-89,-+,53.1,2.134,1,0.144,,,,,,,,,,,,,,,,,,,,
cg3589,-0.6809,0.0341,7.213e-89,+-,81.4,5.374,1,0.02044,,,,,,,,,,,,,,,,,,,,
cg3002,0.3252,0.0163,1.98e-88,-+,43.9,1.781,1,0.182,,,,,,,,,,,,,,,,,,,,
cg2977,-0.258,0.0132,9.372e-85,--,0,0.083,1,0.7729,,,,,,,,,,,,,,,,,,,,
cg2690,-0.1913,0.0099,6.373e-84,--,10.8,1.121,1,0.2897,,,,,,,,,,,,,,,,,,,,
cg4760,0.7483,0.0388,7.777e-83,++,0,0.233,1,0.6291,,,,,,,,,,,,,,,,,,,,
cg409,1.7054,0.0894,3.319e-81,+-,82.1,5.578,1,0.01819,,,,,,,,,,,,,,,,,,,,
cg2884,0.6834,0.0364,1.868e-78,++,0,0.096,1,0.7561,,,,,,,,,,,,,,,,,,,,
cg868,0.633,0.0339,6.778e-78,++,0,0.54,1,0.4623,,,,,,,,,,,,,,,,,,,,
cg1148,-0.273,0.0146,1.055e-77,--,0,0.225,1,0.6355,,,,,,,,,,,,,,,,,,,,
cg1758,0.2902,0.0161,9.206e-73,++,0,0.82,1,0.3651,,,,,,,,,,,,,,,,,,,,
cg1662,0.6305,0.035,1.41e-72,++,0,0.136,1,0.7126,,,,,,,,,,,,,,,,,,,,
cg2248,-0.1927,0.0108,1.387e-71,+-,0,0.19,1,0.6627,,,,,,,,,,,,,,,,,,,,
cg1307,-0.5582,0.0317,2.722e-69,+-,63.8,2.76,1,0.09668,,,,,,,,,,,,,,,,,,,,
cg2082,-0.0986,0.0056,4.954e-69,+-,0,0.249,1,0.6178,,,,,,,,,,,,,,,,,,,,
cg1752,-0.6617,0.038,5.557e-68,+-,21.8,1.278,1,0.2582,,,,,,,,,,,,,,,,,,,,
cg1152,-0.8276,0.0475,5.844e-68,+-,95.2,20.797,1,5.107e-06,,,,,,,,,,,,,,,,,,,,
cg3185,-0.4909,0.0284,4.692e-67,--,29.5,1.417,1,0.2338,,,,,,,,,,,,,,,,,,,,
cg132,-0.3249,0.0188,1.355e-66,+-,78.7,4.685,1,0.03042,,,,,,,,,,,,,,,,,,,,
cg349,-0.2249,0.0131,6.932e-66,--,0,0.261,1,0.6094,,,,,,,,,,,,,,,,,,,,
cg2755,-0.8714,0.0511,3.394e-65,+-,86.1,7.212,1,0.007241,,,,,,,,,,,,,,,,,,,,
cg164,-0.187,0.0111,2.499e-63,+-,50.6,2.024,1,0.1549,,,,,,,,,,,,,,,,,,,,
cg468,-0.6855,0.0409,3.991e-63,--,0,0.063,1,0.8014,,,,,,,,,,,,,,,,,,,,
cg3450,0.477,0.0288,8.992e-62,-+,26.4,1.358,1,0.2438,,,,,,,,,,,,,,,,,,,,
cg4545,0.2968,0.0179,1.096e-61,-+,17,1.205,1,0.2723,,,,,,,,,,,,,,,,,,,,
cg3872,0.6117,0.0369,1.189e-61,++,0,0.035,1,0.8519,,,,,,,,,,,,,,,,,,,,
cg2742,0.6882,0.0417,3.363e-61,++,0,0.032,1,0.8586,,,,,,,,,,,,,,,,,,,,
cg4728,0.1216,0.0074,8.204e-61,++,0,0.097,1,0.755,,,,,,,,,,,,,,,,,,,,
cg3335,0.3663,0.0224,3.705e-60,++,17.9,1.218,1,0.2697,,,,,,,,,,,,,,,,,,,,
cg3651,-0.6355,0.0396,5.171e-58,--,0,0.15,1,0.6987,,,,,,,,,,,,,,,,,,,,
cg4494,-0.626,0.0392,1.668e-57,--,14.7,1.173,1,0.2788,,,,,,,,,,,,,,,,,,,,
cg2995,-0.4877,0.0308,1.783e-56,+-,90.7,10.804,1,0.001013,,,,,,,,,,,,,,,,,,,,
cg394,-0.4996,0.0316,2.344e-56,--,0,0.108,1,0.7421,,,,,,,,,,,,,,,,,,,,
cg1792,-0.7714,0.049,5.931e-56,+-,86,7.166,1,0.007429,,,,,,,,,,,,,,,,,,,,
cg3,0.63,0.0401,1.376e-55,++,0,0.517,1,0.4722,,,,,,,,,,,,,,,,,,,,
cg4383,-0.5794,0.037,2.151e-55,--,0,0.877,1,0.349,,,,,,,,,,,,,,,,,,,,
cg2116,0.6418,0.0411,7.228e-55,++,10.6,1.119,1,0.2902,,,,,,,,,,,,,,,,,,,,
cg3528,0.4552,0.0292,8.602e-55,-+,80.2,5.058,1,0.02452,,,,,,,,,,,,,,,,,,,,
cg4593,-0.6603,0.0426,4.464e-54,--,0,0.105,1,0.746,,,,,,,,,,,,,,,,,,,,
cg3222,-0.2102,0.0136,7.683e-54,+-,73.4,3.763,1,0.05241,,,,,,,,,,,,,,,,,,,,
cg3675,0.5574,0.0363,4.116e-53,-+,53.8,2.164,1,0.1413,,,,,,,,,,,,,,,,,,,,
cg998,-0.3501,0.0231,5.427e-52,+-,93.2,14.777,1,0.000121,,,,,,,,,,,,,,,,,,,,
cg1714,0.5752,0.0384,9.143e-51,++,0,0.168,1,0.682,,,,,,,,,,,,,,,,,,,,
cg211,-0.3031,0.0205,1.694e-49,--,0,0.818,1,0.3657,,,,,,,,,,,,,,,,,,,,
cg3443,-1.0775,0.0729,2.129e-49,+-,36.4,1.572,1,0.2099,,,,,,,,,,,,,,,,,,,,
cg840,-0.3983,0.027,3.147e-49,+-,93.6,15.553,1,8.021e-05,,,,,,,,,,,,,,,,,,,,
cg4572,-0.4908,0.0334,9.084e-49,+-,78.3,4.607,1,0.03184,,,,,,,,,,,,,,,,,,,,
cg2309,0.2007,0.0137,1.159e-48,++,90.9,10.995,1,0.0009136,,,,,,,,,,,,,,,,,,,,
cg3759,0.6763,0.0461,1.204e-48,-+,0,0.854,1,0.3555,,,,,,,,,,,,,,,,,,,,
cg465,-0.8687,0.0593,1.23e-48,--,0,0.174,1,0.6767,,,,,,,,,,,,,,,,,,,,
cg3497,0.718,0.0492,2.891e-48,-+,0,0.849,1,0.3569,,,,,,,,,,,,,,,,,,,,
cg2320,-0.1363,0.0093,3.505e-48,--,0,0.337,1,0.5613,,,,,,,,,,,,,,,,,,,,
cg616,0.7257,0.0501,1.284e-47,++,0,0.432,1,0.5108,,,,,,,,,,,,,,,,,,,,
cg98,0.3608,0.0249,2.04e-47,-+,82.3,5.634,1,0.01761,,,,,,,,,,,,,,,,,,,,
cg4889,0.7204,0.0501,7.406e-47,-+,9,1.099,1,0.2946,,,,,,,,,,,,,,,,,,,,
cg1628,-0.6004,0.0418,1.013e-46,--,0,0.008,1,0.9293,,,,,,,,,,,,,,,,,,,,
cg2632,-1.3067,0.0924,2.273e-45,--,92,12.508,1,0.0004051,,,,,,,,,,,,,,,,,,,,
cg1541,0.5647,0.04,3.052e-45,-+,0,0.965,1,0.3258,,,,,,,,,,,,,,,,,,,,
cg841,0.8122,0.0576,3.687e-45,-+,60.8,2.551,1,0.1102,,,,,,,,,,,,,,,,,,,,
cg801,0.481,0.0344,2.137e-44,-+,0,0.334,1,0.5631,,,,,,,,,,,,,,,,,,,,
cg3842,-0.4197,0.0301,3.709e-44,+-,0,0.762,1,0.3826,,,,,,,,,,,,,,,,,,,,
cg1856,-0.5272,0.0381,1.579e-43,--,0,0.124,1,0.7246,,,,,,,,,,,,,,,,,,,,
cg964,0.5514,0.0401,4.882e-43,-+,64.3,2.802,1,0.09413,,,,,,,,,,,,,,,,,,,,
cg1218,-0.9623,0.07,5.464e-43,+-,85.3,6.819,1,0.00902,,,,,,,,,,,,,,,,,,,,
cg3290,0.4896,0.0358,1.598e-42,-+,47,1.888,1,0.1694,,,,,,,,,,,,,,,,,,,,
cg3280,0.766,0.0561,1.616e-42,++,0,0.026,1,0.8729,,,,,,,,,,,,,,,,,,,,
cg3686,0.5456,0.0403,7.909e-42,++,33.6,1.507,1,0.2197,,,,,,,,,,,,,,,,,,,,
cg1557,-0.4725,0.035,1.621e-41,+-,41.4,1.706,1,0.1916,,,,,,,,,,,,,,,,,,,,
cg4497,0.35,0.026,2.96e-41,++,0,0.174,1,0.6767,,,,,,,,,,,,,,,,,,,,
cg2389,0.5897,0.0439,3.281e-41,++,22.9,1.298,1,0.2546,,,,,,,,,,,,,,,,,,,,
cg2273,-0.5488,0.0411,1.084e-40,--,0,0.502,1,0.4784,,,,,,,,,,,,,,,,,,,,
cg328,-0.6053,0.0456,3.71e-40,--,0,0.002,1,0.9641,,,,,,,,,,,,,,,,,,,,
cg4986,-0.3485,0.0265,2.162e-39,--,0,0.192,1,0.6612,,,,,,,,,,,,,,,,,,,,
cg3567,-0.8047,0.0618,8.977e-39,+-,44.2,1.792,1,0.1807,,,,,,,,,,,,,,,,,,,,
cg4110,-0.2638,0.0203,1.139e-38,--,43.4,1.767,1,0.1837,,,,,,,,,,,,,,,,,,,,
cg1711,0.3059,0.0235,1.337e-38,++,0,0.821,1,0.3649,,,,,,,,,,,,,,,,,,,,
cg3768,0.488,0.0376,1.82e-38,++,86,7.128,1,0.007588,,,,,,,,,,,,,,,,,,,,
cg4521,-0.6071,0.0469,2.57e-38,--,0,0.015,1,0.9013,,,,,,,,,,,,,,,,,,,,
cg3421,0.3537,0.0273,2.654e-38,++,0,0.475,1,0.4906,,,,,,,,,,,,,,,,,,,,
cg3385,-0.3536,0.0274,4.6e-38,--,0,0.068,1,0.7945,,,,,,,,,,,,,,,,,,,,
cg1936,-0.6307,0.049,6.017e-38,+-,81.1,5.3,1,0.02133,,,,,,,,,,,,,,,,,,,,
cg2651,-0.5304,0.0413,9.532e-38,--,0,0.24,1,0.6239,,,,,,,,,,,,,,,,,,,,
cg1011,0.4546,0.0354,1.196e-37,-+,0,0.829,1,0.3625,,,,,,,,,,,,,,,,,,,,
cg2856,0.8301,0.0655,9.198e-37,-+,76.4,4.24,1,0.03948,,,,,,,,,,,,,,,,,,,,
cg3578,-0.4867,0.0385,1.44e-36,--,0,0.216,1,0.6419,,,,,,,,,,,,,,,,,,,,
